Date,GERMANY
2016-04-22,4927.754130664945
2016-04-25,4904.135153271108
2016-04-26,4908.2262758771785
2016-04-27,4929.619064512809
2016-04-28,4937.626489744394
2016-04-29,4867.202680264176
2016-05-02,4924.40851874796
2016-05-03,4837.323830373899
2016-05-04,4779.7128050880865
2016-05-05,4748.05895581934
2016-05-06,4766.383737820747
2016-05-09,4805.347462066703
2016-05-10,4837.166717542259
2016-05-11,4822.634558801014
2016-05-12,4758.166621854809
2016-05-13,4752.000200610443
2016-05-16,4765.669272303131
2016-05-17,4739.939141803523
2016-05-18,4741.801584633486
2016-05-19,4644.095698644876
2016-05-20,4702.8994189908935
2016-05-23,4663.180448780449
2016-05-24,4741.489711825491
2016-05-25,4798.224559607467
2016-05-26,4847.004184558432
2016-05-27,4830.641742325105
2016-05-30,4853.418888480057
2016-05-31,4820.076741873278
2016-06-01,4810.394963067841
2016-06-02,4808.55271889979
2016-06-03,4834.500281396338
2016-06-06,4859.430855183352
2016-06-07,4932.256339769038
2016-06-08,4916.247664419579
2016-06-09,4826.743203063027
2016-06-10,4695.885550011781
2016-06-13,4612.553296076606
2016-06-14,4512.271228956487
2016-06-15,4561.417382620716
2016-06-16,4497.106431414682
2016-06-17,4575.710171227142
2016-06-20,4768.56118642695
2016-06-21,4763.280707441235
2016-06-22,4792.632087034046
2016-06-23,4908.561408230618
2016-06-24,4496.979055580615
2016-06-27,4301.324765532372
2016-06-28,4412.326515282731
2016-06-29,4510.175290537915
2016-06-30,4546.011689198268
2016-07-01,4603.841936522738
2016-07-04,4572.223402301373
2016-07-05,4477.646465586398
2016-07-06,4390.680012810448
2016-07-07,4413.492303381646
2016-07-08,4494.436427506111
2016-07-11,4592.212126543722
2016-07-12,4657.993478613607
2016-07-13,4659.269950870716
2016-07-14,4720.1018312783135
2016-07-15,4706.460361106337
2016-07-18,4706.094003831382
2016-07-19,4650.275682207903
2016-07-20,4719.873601133589
2016-07-21,4719.502283284511
2016-07-22,4709.277792437848
2016-07-25,4730.523332273129
2016-07-26,4756.854358031119
2016-07-27,4791.86814982262
2016-07-28,4807.867400342623
2016-07-29,4883.53056635948
2016-08-01,4876.3631726892745
2016-08-02,4813.453988591122
2016-08-03,4801.617948932703
2016-08-04,4811.681442958777
